spayneuter,uniqueid,dateofbite,species,breed,age,gender,borough,zipcode
false,1,2018-01-01T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11220
false,2,2018-01-04T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,
false,3,2018-01-06T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11224
false,4,2018-01-08T00:00:00.000,DOG,Mixed/Other,4,M,Brooklyn,11231
false,5,2018-01-09T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11224
false,6,2018-01-03T00:00:00.000,DOG,BASENJI,4Y,M,Brooklyn,11231
false,7,2018-01-01T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,
false,8,2018-01-03T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11233
false,9,2018-01-04T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,5Y,M,Brooklyn,11235
false,10,2018-01-10T00:00:00.000,DOG,MIXED,3Y,F,Brooklyn,11208
false,11,2018-01-06T00:00:00.000,DOG,,,U,Brooklyn,11215
true,12,2018-01-07T00:00:00.000,DOG,Yorkshire Terrier Crossbreed,7,M,Brooklyn,11208
true,13,2018-01-06T00:00:00.000,DOG,Great Dane,6,F,Brooklyn,
false,14,2018-01-01T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11220
true,15,2018-01-09T00:00:00.000,DOG,Labradoodle,5,F,Brooklyn,11238
false,16,2018-01-01T00:00:00.000,DOG,West High White Terrier,,M,Brooklyn,11207
false,17,2018-01-14T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11205
false,18,2018-01-07T00:00:00.000,DOG,,,U,Brooklyn,11209
false,19,2018-01-13T00:00:00.000,DOG,MIXED,7,M,Brooklyn,11237
false,20,2018-01-10T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,Brooklyn,11233
true,21,2018-01-15T00:00:00.000,DOG,"Poodle, Miniature",8,M,Brooklyn,11217
true,22,2018-01-13T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,11,F,Brooklyn,11236
false,23,2018-01-13T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11234
false,24,2018-01-09T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,11220
false,25,2018-01-01T00:00:00.000,DOG,UNKNOWN,,U,Brooklyn,
true,26,2018-01-18T00:00:00.000,DOG,Pekingese,3,M,Brooklyn,11220
true,27,2018-01-08T00:00:00.000,DOG,POODLE X,13Y,M,Brooklyn,11215
true,28,2018-01-18T00:00:00.000,DOG,Labrador Retriever Crossbreed,11,M,Brooklyn,11214
true,29,2018-01-18T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,2,F,Brooklyn,11230
false,30,2018-01-17T00:00:00.000,DOG,Dachshund Smooth Coat,2,M,Brooklyn,11211
false,31,2018-01-20T00:00:00.000,DOG,Pit Bull,,U,Brooklyn,11224
true,32,2018-01-21T00:00:00.000,DOG,,2,M,Brooklyn,11231
